,Offers
2016012902,52.0
2016012903,52.0
2016012904,52.0
2016012905,52.0
2016012906,52.0
2016012907,160.0
2016012908,140.0
2016012909,160.0
2016012910,52.0
2016012911,140.0
2016012912,160.0
2016012913,160.0
2016012914,160.0
2016012915,160.0
2016012916,185.0
2016012917,185.0
2016012918,185.0
2016012919,185.0
2016012920,185.0
2016012921,139.0
2016012922,325.0
2016012923,140.0
2016012924,81.0
2016012925,81.0
2016012926,81.0
2016012927,81.0
2016012928,139.0
2016012929,140.0
2016012930,139.0
2016012931,140.0
2016012932,83.99
2016012933,120.0
2016012934,325.0
2016012935,325.0
2016012936,140.0
2016012937,155.0
2016012938,140.0
2016012939,140.0
2016012940,140.0
2016012941,88.0
2016012942,140.0
2016012943,140.0
2016012944,139.0
2016012945,140.0
2016012946,139.0
2016012947,140.0
2016012948,85.0
2016013001,160.0
2016013002,120.0
2016013003,140.0
2016013004,85.0
2016013005,85.0
2016013006,85.0
2016013007,85.0
2016013008,85.0
2016013009,85.0
2016013010,85.0
2016013011,85.0
2016013012,85.0
2016013013,85.0
2016013014,350.0
2016013015,160.0
2016013016,80.0
2016013017,60.0
2016013018,60.0
2016013019,60.0
2016013020,140.0
2016013021,140.0
2016013022,59.24
2016013023,59.99
2016013024,57.99
2016013025,100.0
2016013026,56.95
2016013027,56.95
2016013028,56.95
2016013029,70.0
2016013030,70.0
2016013031,70.0
2016013032,70.0
2016013033,70.0
2016013034,170.0
2016013035,170.0
2016013036,155.0
2016013037,325.0
2016013038,140.0
2016013039,70.0
2016013040,139.0
2016013041,64.49
2016013042,160.0
2016013043,110.0
2016013044,110.0
2016013045,139.0
2016013046,140.0
2016013047,74.0
2016013048,74.0
2016013101,74.0
2016013102,120.0
2016013103,160.0
2016013104,74.0
2016013105,74.0
2016013106,74.0
2016013107,74.0
2016013108,74.0
2016013109,140.0
2016013110,140.0
2016013111,140.0
2016013112,140.0
2016013113,160.0
2016013114,160.0
2016013115,160.0
2016013116,160.0
2016013117,100.0
2016013118,100.0
2016013119,100.0
2016013120,132.0
2016013121,140.0
2016013122,185.0
2016013123,185.0
2016013124,185.0
2016013125,185.0
2016013126,185.0
2016013127,185.0
2016013128,185.0
2016013129,68.5
2016013130,68.5
2016013131,68.5
2016013132,68.5
2016013133,139.0
2016013134,170.0
2016013135,132.0
2016013136,132.0
2016013137,145.0
2016013138,140.0
2016013139,155.0
2016013140,140.0
2016013141,140.0
2016013142,46.5
2016013143,139.0
2016013144,46.0
2016013145,140.0
2016013146,46.0
2016013147,82.0
2016013148,82.0
2016020101,82.0
2016020102,82.0
2016020103,82.0
2016020104,82.0
2016020105,100.0
2016020106,82.0
2016020107,82.0
2016020108,82.0
2016020109,82.0
2016020110,82.0
2016020111,82.0
2016020112,82.0
2016020113,140.0
2016020114,160.0
2016020115,160.0
2016020116,70.0
2016020117,68.0
2016020118,68.0
2016020119,155.0
2016020120,155.0
2016020121,139.0
2016020122,72.0
2016020123,72.0
2016020124,72.0
2016020125,170.0
2016020126,72.0
2016020127,72.0
2016020128,74.0
2016020129,74.0
2016020130,74.0
2016020131,74.0
2016020132,88.0
2016020133,88.0
2016020134,170.0
2016020135,155.0
2016020136,155.0
2016020137,139.0
2016020138,88.0
2016020139,138.0
2016020140,139.0
2016020141,140.0
2016020142,140.0
2016020143,140.0
2016020144,160.0
2016020145,160.0
2016020146,140.0
2016020147,140.0
2016020148,90.0
2016020201,140.0
2016020202,140.0
2016020203,160.0
2016020204,160.0
2016020205,160.0
2016020206,48.0
2016020207,48.0
2016020208,46.0
2016020209,46.0
2016020210,50.0
2016020211,50.0
2016020212,50.0
2016020213,65.0
2016020214,65.0
2016020215,139.0
2016020216,94.3
2016020217,140.0
2016020218,94.3
2016020219,325.0
2016020220,94.3
2016020221,65.0
2016020222,48.5
