,Bids
2016012139,-85.0
2016012140,-100.0
2016012141,-100.0
2016012142,-100.0
2016012143,-100.0
2016012144,-100.0
2016012145,-100.0
2016012146,-100.0
2016012147,-100.0
2016012148,-100.0
2016012201,-100.0
2016012202,-100.0
2016012203,-100.0
2016012204,-100.0
2016012205,-100.0
2016012206,-100.0
2016012207,-100.0
2016012208,-100.0
2016012209,-100.0
2016012210,-100.0
2016012211,-115.0
2016012212,-115.0
2016012213,-115.0
2016012214,-115.0
2016012215,-115.0
2016012216,-115.0
2016012217,-115.0
2016012218,-115.0
2016012219,-115.0
2016012220,-115.0
2016012221,-115.0
2016012222,-115.0
2016012223,-115.0
2016012224,-115.0
2016012225,-115.0
2016012226,-115.0
2016012227,-115.0
2016012228,25.0
2016012229,0.01
2016012230,-60.75
2016012231,-115.0
2016012232,-115.0
2016012233,-115.0
2016012234,-85.0
2016012235,-85.0
2016012236,-85.0
2016012237,-85.0
2016012238,-85.0
2016012239,-85.0
2016012240,-85.0
2016012241,-85.0
2016012242,-85.0
2016012243,-85.0
2016012244,-85.0
2016012245,-85.0
2016012246,-85.0
2016012247,-85.0
2016012248,-85.0
2016012301,-85.0
2016012302,-85.0
2016012303,-85.0
2016012304,-85.0
2016012305,-85.0
2016012306,-85.0
2016012307,-85.0
2016012308,-85.0
2016012309,-85.0
2016012310,-85.0
2016012311,-85.0
2016012312,-60.75
2016012313,-59.22
2016012314,5.0
2016012315,5.0
2016012316,-85.0
2016012317,-85.0
2016012318,-85.0
2016012319,-85.0
2016012320,-85.0
2016012321,-85.0
2016012322,-85.0
2016012323,-85.0
2016012324,-85.0
2016012325,-85.0
2016012326,-85.0
2016012327,-85.0
2016012328,-85.0
2016012329,-85.0
2016012330,-85.0
2016012331,-85.0
2016012332,-85.0
2016012333,-85.0
2016012334,-85.0
2016012335,-85.0
2016012336,15.0
2016012337,0.0
2016012338,15.0
2016012339,15.0
2016012340,21.7
2016012341,21.7
2016012342,21.7
2016012343,21.7
2016012344,21.7
2016012345,-35.0
2016012346,21.7
2016012347,15.0
2016012348,21.7
2016012401,21.7
2016012402,21.7
2016012403,21.7
2016012404,-35.0
2016012405,21.7
2016012406,0.0
2016012407,-85.0
2016012408,-85.0
2016012409,-85.0
2016012410,-85.0
2016012411,-35.0
2016012412,-35.0
2016012413,-35.0
2016012414,-85.0
2016012415,-85.0
2016012416,-85.0
2016012417,-85.0
2016012418,-85.0
2016012419,-85.0
2016012420,-85.0
2016012421,-85.0
2016012422,-85.0
2016012423,-85.0
2016012424,-85.0
2016012425,-85.0
2016012426,-85.0
2016012427,-85.0
2016012428,-85.0
2016012429,-85.0
2016012430,-85.0
2016012431,-85.0
2016012432,-85.0
2016012433,-85.0
2016012434,-85.0
2016012435,-85.0
2016012436,-85.0
2016012437,-85.0
2016012438,-85.0
2016012439,-85.0
2016012440,-85.0
2016012441,-85.0
2016012442,-85.0
2016012443,-85.0
2016012444,-85.0
2016012445,-85.0
2016012446,-85.0
2016012447,-85.0
2016012448,-85.0
2016012501,-85.0
2016012502,-85.0
2016012503,-85.0
2016012504,-85.0
2016012505,-97.0
2016012506,-100.0
2016012507,-100.0
2016012508,-97.0
2016012509,-115.0
2016012510,-115.0
2016012511,-115.0
2016012512,-115.0
2016012513,-115.0
2016012514,-115.0
2016012515,-115.0
2016012516,-115.0
2016012517,-115.0
2016012518,-115.0
2016012519,-115.0
2016012520,-115.0
2016012521,-115.0
2016012522,-85.0
2016012523,-85.0
2016012524,-63.72
2016012525,-63.72
2016012526,-63.72
2016012527,-63.72
2016012528,-63.72
2016012529,-63.72
2016012530,-63.72
2016012531,-63.72
2016012532,-63.72
2016012533,-63.72
2016012534,-63.72
2016012535,-63.72
2016012536,-63.72
2016012537,-63.72
2016012538,-63.72
2016012539,0.0
2016012540,-85.0
2016012541,-85.0
