,index,DA_margin,DA_imb
1071,2016012316,25957,1388
1072,2016012317,24282,1383
1073,2016012318,22145,1245
1074,2016012319,20539,799
1075,2016012320,19515,954
1076,2016012321,19204,874
1077,2016012322,19767,466
1078,2016012323,19789,505
1079,2016012324,19515,562
1080,2016012325,19887,1075
1081,2016012326,20273,1470
1082,2016012327,20730,1290
1083,2016012328,20892,1283
1084,2016012329,20917,1300
1085,2016012330,20940,1438
1086,2016012331,20414,1199
1087,2016012332,20039,1725
1088,2016012333,18775,2149
1089,2016012334,16488,1780
1090,2016012335,13573,1136
1091,2016012336,12804,645
1092,2016012337,13688,838
1093,2016012338,14884,1071
1094,2016012339,16538,1240
1095,2016012340,18565,1527
1096,2016012341,19886,1317
1097,2016012342,20489,631
1098,2016012343,22020,511
1099,2016012344,23720,576
1100,2016012345,25428,621
1101,2016012346,25966,655
1102,2016012347,26632,391
1103,2016012348,27608,821
1104,201601241,27873,1094
1105,201601242,27541,711
1106,201601243,27564,664
1107,201601244,27485,253
1108,201601245,27650,163
1109,201601246,27865,193
1110,201601247,28330,258
1111,201601248,29070,780
1112,201601249,29553,975
1113,2016012410,30003,914
1114,2016012411,29883,858
1115,2016012412,29917,1188
1116,2016012413,29358,842
1117,2016012414,29172,602
1118,2016012415,28697,1239
1119,2016012416,28273,1355
