,index,time_peak,peak(MW),total_cap(MW)
752,20180122,0000,8495,11836
753,20180123,1400,10075,11836
754,20180124,1500,10242,11836
755,20180125,0000,9160,11836
756,20180126,2300,4017,11836
757,20180127,1400,10755,11836
758,20180128,1200,10106,11836
759,20180129,0100,10251,11836
760,20180130,2300,8735,11836
761,20180131,1300,10165,11836
762,20180201,1300,10507,11836
763,20180202,0000,9714,11836
764,20180203,2300,3627,11836
765,20180204,1900,4054,11836
766,20180205,0000,3347,11836
767,20180206,1200,5207,11836
768,20180207,2000,5208,11836
769,20180208,2000,6751,11836
770,20180209,0600,9102,11836
771,20180210,2000,8028,11836
772,20180211,1400,10534,11836
773,20180212,0000,9154,11836
774,20180213,0500,10320,11836
775,20180214,1400,10897,11836
776,20180215,1400,9761,11836
777,20180216,0000,8979,11836
778,20180217,0000,5946,11836
779,20180218,1800,3189,11836
780,20180219,2300,2542,11836
781,20180220,0300,4977,11836
782,20180221,2300,2523,11836
783,20180222,2300,5169,11836
784,20180223,2200,8546,11836
785,20180224,2100,8699,11836
786,20180225,0000,8446,11836
787,20180226,0000,6904,11836
788,20180227,2300,6177,11836
789,20180228,1200,10189,11836
790,20180301,1100,10620,11836
791,20180302,0000,10403,11836
792,20180303,0000,9363,11836
793,20180304,0000,6738,11836
794,20180305,2300,6070,11836
795,20180306,0000,6212,11836
796,20180307,2100,4291,11836
797,20180308,2000,5590,11836
798,20180309,2300,5834,11836
799,20180310,1000,7425,11836
800,20180311,0000,3933,11836
801,20180312,2300,3867,11836
802,20180313,0300,4466,11836
803,20180314,2300,10644,11836
804,20180315,0300,10777,11836
805,20180316,2300,10657,11836
806,20180317,0200,10783,11836
807,20180318,1300,10155,11836
808,20180319,0000,7596,11836
809,20180320,0600,4882,11836
810,20180321,2200,8025,11836
811,20180322,2300,8279,11836
812,20180323,0900,9072,11836
813,20180324,1500,1869,11836
814,20180325,1600,2813,11836
815,20180326,2300,4603,11836
816,20180327,0900,7306,11836
817,20180328,0000,4419,11836
818,20180329,2300,6244,11836
819,20180330,2000,6431,11836
820,20180331,1000,5620,11836
821,20180401,2300,3475,11836
822,20180402,1200,9093,11836
823,20180403,0000,7540,11836
824,20180404,1900,8044,11836
825,20180405,0100,7731,11836
826,20180406,1400,9359,11836
827,20180407,0000,6966,11836
828,20180408,0000,1194,11836
829,20180409,2300,4820,11836
830,20180410,1600,6669,11836
831,20180411,2000,5905,11836
832,20180412,1000,5916,11836
833,20180413,0000,2902,11836
834,20180414,2300,2993,11836
835,20180415,2200,6102,11836
836,20180416,2300,8584,11836
837,20180417,1100,9961,11836
838,20180418,2200,9469,11836
839,20180419,0000,9247,11836
840,20180420,1300,2704,11836
841,20180421,2300,4954,11836
842,20180422,2300,7172,11836
843,20180423,2300,9146,11836
844,20180424,0000,9039,11836
845,20180425,2300,7681,11836
846,20180426,1200,9184,11836
847,20180427,1900,3091,11836
848,20180428,2300,2044,11836
849,20180429,2200,5193,11836
850,20180430,1600,7024,11836
851,20180501,2000,9781,11836
852,20180502,0000,8889,11836
853,20180503,0200,5253,11836
854,20180504,0000,4155,11836
855,20180505,1800,3967,11836
856,20180506,1700,2726,11836
857,20180507,2000,2404,11836
858,20180508,1400,3440,11836
859,20180509,1700,5785,11836
860,20180510,1000,5179,11836
861,20180511,1600,8611,11836
862,20180512,0000,4841,11836
863,20180513,1700,1772,11836
864,20180514,1500,3212,11836
865,20180515,2200,5662,11836
866,20180516,0300,5713,11836
867,20180517,0000,3764,11836
868,20180518,0100,1475,11836
869,20180519,2300,4071,11836
870,20180520,0100,4310,11836
871,20180521,2100,3872,11836
872,20180522,2200,4278,11836
873,20180523,2200,4645,11836
874,20180524,0000,4259,11836
875,20180525,1600,3458,11836
876,20180526,1800,7048,11836
877,20180527,1200,7293,11836
878,20180528,2300,3495,11836
879,20180529,2100,5308,11836
880,20180530,0000,3694,11836
881,20180531,1700,996,11836
882,20180601,2300,862,11836
883,20180602,1500,845,11836
884,20180603,2100,624,11836
885,20180604,2300,3047,11836
886,20180605,0100,3009,11836
887,20180606,1900,2021,11836
888,20180607,1700,1774,11836
889,20180608,1900,1638,11836
890,20180609,0200,933,11836
891,20180610,1900,1371,11836
892,20180611,1900,3303,11836
893,20180612,2000,2797,11836
894,20180613,2300,9383,11836
895,20180614,0200,9907,11836
896,20180615,0300,5560,11836
897,20180616,2100,4796,11836
898,20180617,2300,6362,11836
899,20180618,2000,9077,11836
900,20180619,0000,6934,11836
901,20180620,0500,6766,11836
902,20180621,0800,8848,11836
903,20180622,0400,5512,11836
904,20180623,1100,2538,11836
905,20180624,0000,955,11836
906,20180625,0300,842,11836
907,20180626,2300,1166,11836
908,20180627,2300,2081,11836
909,20180628,2100,2211,11836
910,20180629,2200,3651,12051
911,20180630,2300,5771,12051
912,20180701,0000,5739,12051
913,20180702,0000,5003,12051
914,20180703,0000,4362,12051
915,20180704,0000,2394,12051
916,20180705,1600,2167,12051
917,20180706,2100,900,12051
918,20180707,1700,1463,12051
919,20180708,1500,1367,12051
920,20180709,1900,3312,12051
921,20180710,2000,2969,12051
922,20180711,0000,2681,12051
923,20180712,0700,818,12051
924,20180713,2300,730,12051
925,20180714,2300,3397,12051
926,20180715,0000,3240,12051
