,index,Offer_vol,Bid_vol,Accepted_offer_vol,Accepted_bid_vol
421,2016010938,47244.500,-49887.500,97.889,-827.138
422,2016010939,47646.000,-49478.500,225.088,-561.541
423,2016010940,47812.500,-49196.000,234.204,-338.023
424,2016010941,48392.000,-48865.000,394.125,-253.608
425,2016010942,48712.000,-48768.500,379.542,-498.870
426,2016010943,49130.000,-48685.000,259.161,-270.938
427,2016010944,49167.000,-48557.500,378.667,-870.910
428,2016010945,49486.500,-48571.000,460.417,-1127.486
429,2016010946,49744.000,-48496.000,495.553,-1219.420
430,2016010947,49794.000,-48672.000,546.875,-1222.602
431,2016010948,49876.000,-48543.000,525.075,-1223.511
432,201601101,50681.000,-49006.500,531.500,-1277.208
433,201601102,50681.000,-48978.000,531.500,-1317.157
434,201601103,50863.000,-48980.000,574.175,-1280.867
435,201601104,50863.000,-48980.000,541.035,-1354.539
436,201601105,51110.000,-48980.500,531.769,-1339.785
437,201601106,51110.000,-48980.500,531.500,-1248.226
438,201601107,51341.500,-48701.000,531.502,-1054.094
439,201601108,51358.500,-48458.000,531.500,-1001.117
440,201601109,51359.000,-48373.000,531.500,-1093.217
441,2016011010,51359.000,-48285.500,531.500,-1084.826
442,2016011011,50880.000,-47874.500,549.834,-1020.711
443,2016011012,50880.500,-47874.500,553.285,-915.423
444,2016011013,50848.500,-48212.000,531.500,-651.748
445,2016011014,50738.500,-48212.000,552.834,-632.308
446,2016011015,50673.000,-48284.000,531.500,-627.823
447,2016011016,50479.500,-48290.500,507.667,-465.920
448,2016011017,50474.500,-48280.500,397.542,-584.290
449,2016011018,50060.500,-49004.000,369.833,-508.034
450,2016011019,49831.000,-49198.000,457.352,-465.886
451,2016011020,49492.500,-49267.000,353.444,-483.876
452,2016011021,48883.500,-49173.500,267.592,-154.972
453,2016011022,48765.000,-49170.500,82.786,-56.597
454,2016011023,48717.000,-49173.500,57.565,-175.921
455,2016011024,48572.000,-49177.000,79.285,-159.827
456,2016011025,48433.000,-49174.500,0.000,-166.390
457,2016011026,48241.500,-49170.000,0.000,-237.518
458,2016011027,48354.000,-49169.500,31.744,-270.127
459,2016011028,48330.000,-49170.000,92.318,-346.333
460,2016011029,48502.500,-49180.500,264.667,-233.818
461,2016011030,48492.000,-49176.000,142.821,-166.000
462,2016011031,48542.500,-49161.500,450.796,-171.293
463,2016011032,48466.500,-49210.000,359.529,-51.091
464,2016011033,48241.000,-49635.500,649.551,-0.089
465,2016011034,47528.000,-49752.000,934.069,-50.264
466,2016011035,47119.000,-49816.000,853.365,-101.300
467,2016011036,47090.500,-49799.000,803.879,-122.045
468,2016011037,47157.000,-49835.500,831.870,-89.004
469,2016011038,47203.500,-49835.500,635.258,-227.736
470,2016011039,48202.500,-49788.000,597.417,-153.793
471,2016011040,48290.500,-49430.000,725.402,-221.442
472,2016011041,48589.500,-49262.500,637.367,-384.326
473,2016011042,48804.000,-49307.000,555.583,-567.026
474,2016011043,49222.000,-49303.500,298.857,-578.089
475,2016011044,49472.500,-49303.500,103.611,-463.624
476,2016011045,49575.500,-48975.500,103.500,-360.397
477,2016011046,50016.000,-48651.000,148.322,-581.886
478,2016011047,49855.500,-48550.500,249.520,-836.519
479,2016011048,49974.000,-48389.500,267.141,-622.988
480,201601111,50459.000,-48557.000,330.598,-493.992
481,201601112,50459.500,-48868.000,212.400,-344.076
482,201601113,50294.500,-48918.000,207.000,-578.072
483,201601114,50330.000,-48970.000,216.648,-739.976
484,201601115,50429.000,-48868.000,309.735,-745.017
485,201601116,50336.000,-49086.000,216.500,-590.265
486,201601117,50359.500,-49021.000,213.000,-663.800
487,201601118,50477.500,-49021.000,207.000,-589.765
488,201601119,50470.000,-48894.500,336.750,-611.561
489,2016011110,50470.000,-48895.500,405.829,-395.081
490,2016011111,49797.500,-48583.500,317.619,-166.792
491,2016011112,49671.000,-48599.000,417.381,-219.599
492,2016011113,49591.500,-49287.500,586.630,-183.190
493,2016011114,48753.500,-49769.500,884.100,-369.068
494,2016011115,46978.000,-49689.000,590.914,-171.989
495,2016011116,46254.000,-49866.000,507.701,-7.988
496,2016011117,45883.000,-50098.500,446.235,-54.015
497,2016011118,45877.500,-50122.500,328.493,-251.924
498,2016011119,45749.000,-50262.500,394.307,-76.854
499,2016011120,45711.500,-50420.000,465.919,-51.333
500,2016011121,45579.500,-50342.500,625.809,-219.236
501,2016011122,45579.000,-50343.500,523.666,-198.016
502,2016011123,45529.500,-50350.500,318.746,-188.478
503,2016011124,45599.000,-50364.500,293.807,-256.489
504,2016011125,45600.500,-50363.000,293.271,-677.258
